"データファイル名        : ","C:\Users\queez\Dropbox\Experiments\2019-Ito-kun\data\Qms\S1_200804_200905.qst"
"ロットＩＤ              : ",""
"センサータイプ          : ","BGM102              "
"センサー番号            : ",1
"レシピ番号              : ",0
"レシピ名称              : ","general1"
"測定モード              : ","トレンドモード"
"測定質量数              : ",2 ,3 ,4 ,14,15,16,17,18,19,20,28,32,40,44,--,--,--,--,--,--
"測定スピード            : ",50    ,"msec"
"移動平均回数            : ",1,"回"
"測定間隔                : ",700   ,"msec"
"保存間隔                : ",1,"回"
"導入バルブ状態          : ","全閉"
"終了バルブ状態          : ","状態維持"
"イオン化電圧            : ",50    ,"eV"
"レンジ値                : ","オートレンジ"
"データの種類            : ","イオン強度"
"分圧の参照値            : ","感度校正値"
"圧力単位                : ","[Pa]"
"ｱﾅﾛｸﾞCH.1のデータの種類 : ","圧力"
"ｱﾅﾛｸﾞCH.2のデータの種類 : ","圧力"
"選択 FIL                : ","FIL1"
"選択 SEM / FC           : ","SEM"
"SEM 電圧                : ",-1.000,"kV"
"変換条件 電流 ->分圧    : ","校正圧力値",1.00E-05,"設定イオン電流値",1.00E-07
"変換条件 ｱﾅﾛｸﾞ1->圧力   : ","換算係数値",8
圧力"変換条件 ｱﾅﾛｸﾞ1->温度   : ","最大温度",1000    ,"最小温度",0       
"変換条件 ｱﾅﾛｸﾞ2->圧力   : ","換算係数値",8
"変換条件 ｱﾅﾛｸﾞ2->温度   : ","最大温度",1000    ,"最小温度",0       
"測定開始日時            : ",2020/08/04 20:09:05
"測定終了日時            : ",2020/08/04 21:30:20
"エミッション電流        : ","なし"
"SEMインターロック       : ","監視状態","有効",2.00E-02
"Ar表示機能              : ","無効",0


"測定回数","経過時間"   ,"ｱﾅﾛｸﾞ1" ,"ｱﾅﾛｸﾞ2" ,"全圧"   ,     1   ,     2   ,     3   ,     4   ,     5   ,     6   ,     7   ,     8   ,     9   ,    10   ,    11   ,    12   ,    13   ,    14   ,    15   ,    16   ,    17   ,    18   ,    19   ,    20   
       1  ,000:00:00.000 ,1.00E-08 ,1.00E-08 ,2.26E-04 , 7.52E-10, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
       2  ,000:00:00.703 ,1.00E-08 ,1.00E-08 ,2.26E-04 , 7.52E-10, 3.23E-12, 2.53E-12, 4.07E-11, 6.67E-11, 2.00E-10, 1.46E-09, 6.21E-09, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
       3  ,000:00:01.406 ,1.00E-08 ,1.00E-08 ,2.24E-04 , 7.52E-10, 3.23E-12, 2.53E-12, 4.07E-11, 6.67E-11, 2.00E-10, 1.46E-09, 6.21E-09, 3.40E-11, 9.50E-10, 1.17E-09, 5.83E-11, 2.38E-11, 6.46E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
       4  ,000:00:02.109 ,1.00E-08 ,1.00E-08 ,2.24E-04 , 7.78E-10, 3.28E-12, 2.89E-12, 4.18E-11, 6.72E-11, 2.02E-10, 1.46E-09, 6.05E-09, 3.40E-11, 9.50E-10, 1.17E-09, 5.83E-11, 2.38E-11, 6.46E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
       5  ,000:00:02.812 ,1.00E-08 ,1.00E-08 ,2.23E-04 , 7.80E-10, 3.28E-12, 2.89E-12, 4.18E-11, 6.72E-11, 2.02E-10, 1.46E-09, 6.05E-09, 3.30E-11, 9.25E-10, 1.14E-09, 6.13E-11, 2.34E-11, 6.30E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
       6  ,000:00:03.515 ,1.00E-08 ,1.00E-08 ,2.23E-04 , 7.80E-10, 2.93E-12, 3.04E-12, 3.95E-11, 6.79E-11, 1.99E-10, 1.44E-09, 6.07E-09, 3.14E-11, 9.25E-10, 1.14E-09, 6.13E-11, 2.34E-11, 6.30E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
       7  ,000:00:04.219 ,1.00E-08 ,1.00E-08 ,2.22E-04 , 8.04E-10, 2.93E-12, 3.04E-12, 3.95E-11, 6.79E-11, 1.99E-10, 1.44E-09, 6.07E-09, 3.14E-11, 9.23E-10, 1.13E-09, 5.83E-11, 2.29E-11, 6.29E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
       8  ,000:00:04.922 ,1.00E-08 ,1.00E-08 ,2.22E-04 , 8.04E-10, 2.66E-12, 2.44E-12, 3.92E-11, 6.75E-11, 2.01E-10, 1.43E-09, 6.02E-09, 3.24E-11, 9.23E-10, 1.13E-09, 5.83E-11, 2.29E-11, 6.29E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
       9  ,000:00:05.625 ,1.00E-08 ,1.00E-08 ,2.25E-04 , 1.02E-09, 2.66E-12, 2.44E-12, 3.92E-11, 6.75E-11, 2.01E-10, 1.43E-09, 6.02E-09, 3.24E-11, 9.26E-10, 1.16E-09, 5.86E-11, 2.25E-11, 6.74E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      10  ,000:00:06.328 ,1.00E-08 ,1.00E-08 ,2.25E-04 , 1.02E-09, 3.25E-12, 2.42E-12, 4.03E-11, 6.90E-11, 2.04E-10, 1.43E-09, 5.96E-09, 3.17E-11, 9.26E-10, 1.16E-09, 5.86E-11, 2.25E-11, 6.74E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      11  ,000:00:07.031 ,1.00E-08 ,1.00E-08 ,2.27E-04 , 1.09E-09, 3.25E-12, 2.42E-12, 4.03E-11, 6.90E-11, 2.04E-10, 1.43E-09, 5.96E-09, 3.17E-11, 9.11E-10, 1.17E-09, 5.64E-11, 2.42E-11, 6.80E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      12  ,000:00:07.734 ,1.00E-08 ,1.00E-08 ,2.27E-04 , 1.09E-09, 2.32E-12, 1.72E-12, 3.99E-11, 6.81E-11, 2.04E-10, 1.43E-09, 5.96E-09, 3.09E-11, 9.11E-10, 1.17E-09, 5.64E-11, 2.42E-11, 6.80E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      13  ,000:00:08.437 ,1.00E-08 ,1.00E-08 ,2.25E-04 , 8.98E-10, 2.32E-12, 1.72E-12, 3.99E-11, 6.81E-11, 2.04E-10, 1.43E-09, 5.96E-09, 3.09E-11, 9.05E-10, 1.13E-09, 5.96E-11, 2.23E-11, 6.39E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      14  ,000:00:09.140 ,1.00E-08 ,1.00E-08 ,2.25E-04 , 8.98E-10, 2.92E-12, 2.35E-12, 3.90E-11, 6.57E-11, 1.96E-10, 1.41E-09, 5.99E-09, 3.10E-11, 9.05E-10, 1.13E-09, 5.96E-11, 2.23E-11, 6.39E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
      15  ,000:00:09.844 ,1.00E-08 ,1.00E-08 ,2.23E-04 , 8.46E-10, 2.92E-12, 2.35E-12, 3.90E-11, 6.57E-11, 1.96E-10, 1.41E-09, 5.99E-09, 3.10E-11, 9.10E-10, 1.12E-09, 5.70E-11, 2.33E-11, 6.27E-10, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
